Released_Year,Runtime,Genre,Meta_score,No_of_Votes,Gross,IMDB_Rating
2002,115,100,83.0,178565,22245861.0,7.7
2001,144,157,74.0,364254,108638745.0,7.7
2002,117,132,72.0,246840,104454762.0,7.7
2001,120,179,60.0,90842,141072.0,7.7
2000,110,162,74.0,126770,21995263.0,7.7
2001,95,103,85.0,31957,3029081.0,7.7
2001,116,136,74.0,516372,183417150.0,7.7
2000,103,65,62.0,29210,151086.0,7.7
2000,107,39,69.0,286742,45512588.0,7.7
1999,81,75,73.0,192112,52037603.0,7.7
1999,89,93,68.0,241575,10824921.0,7.7
1998,134,100,81.0,66408,2807390.0,7.7
2001,122,132,69.0,390247,76631907.0,7.7
1998,93,105,86.0,169229,17105219.0,7.7
1999,113,102,90.0,312542,22858926.0,7.7
1997,139,105,67.0,275755,148478011.0,7.7
1997,126,11,52.0,434125,63540020.0,7.7
1998,80,93,73.0,37424,4065116.0,7.7
1997,127,84,76.0,279318,41909762.0,7.7
1996,105,88,87.0,51350,35811509.0,7.7
1996,129,129,47.0,189716,56116183.0,7.7
1995,97,139,83.0,32236,10019307.0,7.7
1994,108,83,81.0,33600,21848932.0,7.7
1994,92,93,70.0,211450,3151130.0,7.7
1993,188,100,79.0,42275,6110979.0,7.7
1993,125,137,66.0,224169,77324422.0,7.7
1992,85,101,64.0,50298,27281507.0,7.7
1992,202,87,73.0,85819,48169908.0,7.7
1992,112,4,76.0,150409,75505856.0,7.7
1992,100,129,82.0,95826,10725228.0,7.7
1992,138,179,62.0,235388,141340178.0,7.7
1991,130,137,64.0,66941,82418501.0,7.7
1991,116,106,69.0,113240,6153939.0,7.7
1990,115,132,66.0,125822,5080409.0,7.7
1988,104,67,83.0,182009,156452370.0,7.7
1987,107,100,84.0,40396,1544889.0,7.7
1987,163,87,76.0,94326,43984230.0,7.7
1987,153,26,62.0,115677,22238696.0,7.7
1986,130,129,54.0,102031,7153487.0,7.7
1986,120,170,76.0,181285,8551228.0,7.7
1985,82,111,75.0,47102,10631333.0,7.7
1985,97,95,90.0,59635,10600000.0,7.7
1982,129,137,77.0,36096,54000000.0,7.7
1982,113,11,67.0,112704,78912963.0,7.7
1982,93,0,61.0,226541,47212904.0,7.7
1980,124,137,86.0,47099,54800000.0,7.7
1980,88,93,78.0,214882,83400000.0,7.7
1978,91,196,87.0,233106,47000000.0,7.7
1976,126,179,71.0,39889,1924733.0,7.7
1974,93,121,73.0,125993,119500000.0,7.7
1973,130,84,87.0,109941,29800000.0,7.7
1973,102,22,83.0,96561,25000000.0,7.7
1972,109,52,80.0,98740,7056013.0,7.7
1971,104,22,94.0,110075,15630710.0,7.7
1971,102,24,90.0,143292,35900000.0,7.7
1968,105,93,86.0,31572,44527234.0,7.7
1967,150,13,73.0,67183,45300000.0,7.7
1966,120,87,72.0,31222,28350000.0,7.7
1964,110,12,87.0,174119,51081062.0,7.7
1963,119,159,90.0,171739,11403529.0,7.7
1960,128,14,74.0,87719,4905000.0,7.7
1960,90,158,90.0,27620,52709.0,7.7
1951,105,50,91.0,71481,536118.0,7.7
1940,125,81,96.0,88662,76408097.0,7.7
2018,102,170,71.0,140840,26020957.0,7.6
2019,161,100,83.0,551309,142502728.0,7.6
2017,127,137,86.0,29765,566356.0,7.6
2017,111,137,92.0,95181,5904366.0,7.6
2017,101,137,60.0,99643,24801212.0,7.6
2019,97,40,70.0,66346,13122642.0,7.6
2015,97,137,83.0,35785,845464.0,7.6
2017,136,2,67.0,569974,389813101.0,7.6
2017,113,22,86.0,439406,107825862.0,7.6
2017,134,16,72.0,58371,18340051.0,7.6
2015,142,156,81.0,287659,72313754.0,7.6
2018,118,62,80.0,250057,608581744.0,7.6
2016,107,67,81.0,272784,248757044.0,7.6
2015,121,22,82.0,371291,46889293.0,7.6
2015,133,178,82.0,247666,109767581.0,7.6
2014,140,122,92.0,49397,1092800.0,7.6
2016,102,22,88.0,204175,26862450.0,7.6
2013,98,83,77.0,94212,37707719.0,7.6
2014,130,4,79.0,411599,208545589.0,7.6
2011,101,36,73.0,190531,4105123.0,7.6
2012,109,22,68.0,228132,41003371.0,7.6
2010,94,69,80.0,80939,19202743.0,7.6
2018,136,165,88.0,334312,215288866.0,7.6
2010,110,184,80.0,311822,171243005.0,7.6
2010,118,172,65.0,38491,1008098.0,7.6
2010,95,73,72.0,500851,251513985.0,7.6
2011,100,105,72.0,315426,35014192.0,7.6
2010,117,17,66.0,524081,48071303.0,7.6
2011,133,90,87.0,369529,75605492.0,7.6
2011,120,161,70.0,138959,3185812.0,7.6
2009,88,42,73.0,520041,75590286.0,7.6
2009,128,9,57.0,583158,209028679.0,7.6
2009,129,90,53.0,293266,255959475.0,7.6
2007,104,137,79.0,41544,9422422.0,7.6
2008,123,137,36.0,286770,69951824.0,7.6
2007,100,22,82.0,227760,17114882.0,7.6
2007,127,55,66.0,255036,38634938.0,7.6
2009,71,69,81.0,31779,686383.0,7.6
2006,129,129,76.0,339757,88513495.0,7.6
2007,114,129,72.0,250590,20300218.0,7.6
2007,140,88,66.0,82781,10301706.0,7.6
2006,104,16,70.0,72863,24633730.0,7.6
2006,110,146,68.0,354728,39868642.0,7.6
2004,90,132,52.0,49728,6013.0,7.6
2009,153,5,78.0,474827,301959197.0,7.6
2006,117,25,52.0,732876,210614939.0,7.6
2005,124,174,72.0,206294,23089926.0,7.6
2009,162,27,56.0,500799,107509799.0,7.6
2005,122,22,62.0,294140,24149632.0,7.6
2004,103,194,46.0,379020,56000369.0,7.6
2008,124,137,67.0,83158,3081925.0,7.6
2004,105,137,73.0,65939,697181.0,7.6
2003,93,105,45.0,67360,548707.0,7.6
2004,133,168,76.0,70925,6167817.0,7.6
2003,89,100,81.0,67370,5739376.0,7.6
2003,124,132,70.0,224545,16290476.0,7.6
2002,129,132,56.0,62659,45289.0,7.6
2004,106,86,67.0,198677,51680613.0,7.6
2002,135,137,68.0,169708,13060843.0,7.6
2004,113,177,30.0,451479,57938693.0,7.6
2002,113,160,73.0,376853,45064915.0,7.6
2001,110,100,76.0,266842,52364010.0,7.6
2001,106,137,88.0,115827,13622333.0,7.6
2001,152,55,64.0,658185,317575550.0,7.6
2001,101,194,74.0,337651,96522687.0,7.6
2001,124,84,52.0,240714,52990775.0,7.6
2001,131,157,53.0,243729,51401758.0,7.6
2002,145,23,80.0,508417,132072926.0,7.6
1999,146,90,74.0,91557,50668906.0,7.6
2000,101,95,64.0,490062,15070285.0,7.6
1998,81,132,77.0,188317,7267585.0,7.6
1998,170,182,78.0,172710,36400491.0,7.6
1998,88,69,71.0,256906,120620254.0,7.6
1998,118,40,41.0,259753,10680275.0,7.6
1998,100,198,66.0,187927,14378331.0,7.6
1996,147,132,49.0,186734,49100000.0,7.6
1997,134,199,52.0,131101,3796699.0,7.6
1995,136,172,84.0,102598,43182776.0,7.6
1995,128,12,58.0,364420,100012499.0,7.6
1995,121,47,62.0,90442,1037847.0,7.6
1995,135,172,69.0,73172,71516617.0,7.6
PG,140,48,77.0,269197,173837933.0,7.6
1994,92,105,88.0,64390,1464625.0,7.6
1993,113,22,56.0,171640,40903593.0,7.6
1993,102,93,78.0,165465,7993039.0,7.6
1992,120,94,68.0,107325,52929168.0,7.6
1991,118,79,90.0,27071,453243.0,7.6
1991,99,94,66.0,80487,1794187.0,7.6
1990,103,108,63.0,488817,285761243.0,7.6
1990,162,122,60.0,359809,66666062.0,7.6
1989,95,105,76.0,195663,92823600.0,7.6
1989,83,81,88.0,237696,111543479.0,7.6
1988,85,94,76.0,152871,78756177.0,7.6
1987,93,100,72.0,124773,49530280.0,7.6
1987,109,24,68.0,236894,65207127.0,7.6
1984,99,132,82.0,87745,2150000.0,7.6
1981,109,137,68.0,27650,119285432.0,7.6
1981,96,11,77.0,166588,12465371.0,7.6
1979,92,24,65.0,93878,22490039.0,7.6
1979,95,41,74.0,32802,76657000.0,7.6
1979,112,15,76.0,121731,43000000.0,7.6
1978,121,84,59.0,73662,35000000.0,7.6
1977,138,176,90.0,184966,132088635.0,7.6
1973,112,95,87.0,26337,959000.0,7.6
1971,157,183,77.0,30144,696690.0,7.6
1970,144,45,50.0,45338,1378435.0,7.6
1967,78,69,65.0,166409,141843612.0,7.6
1964,87,114,96.0,40351,13780024.0,7.6
1953,118,175,85.0,43374,30500000.0,7.6
