Released_Year,Runtime,Genre,Meta_score,No_of_Votes,Gross,IMDB_Rating
1963,172,48,86.0,224730,12100000.0,8.2
1959,121,115,98.0,243943,25000000.0,8.2
1955,118,132,97.0,28810,57226.0,8.2
1954,105,136,75.0,158335,12562.0,8.2
1950,88,129,98.0,152572,96568.0,8.2
1950,138,137,98.0,120539,10177.0,8.2
1948,126,54,98.0,114304,5014000.0,8.2
2019,122,172,95.0,63134,3759854.0,8.1
2016,145,174,84.0,113649,2006788.0,8.1
2014,139,137,74.0,50700,3492754.0,8.1
2017,137,28,77.0,647884,226277068.0,8.1
2015,118,179,86.0,371538,14677674.0,8.1
2014,122,106,77.0,177059,3107072.0,8.1
2014,196,137,88.0,46547,165520.0,8.1
2014,99,39,88.0,707630,59100318.0,8.1
2014,149,170,79.0,859695,167767189.0,8.1
2016,139,87,71.0,435928,67209615.0,8.1
2015,95,67,94.0,616228,356461711.0,8.1
2013,134,87,96.0,640533,56671993.0,8.1
2013,123,16,74.0,432811,26947624.0,8.1
2019,152,16,81.0,291289,117624028.0,8.1
2015,129,84,93.0,420316,45055776.0,8.1
2014,93,68,85.0,51679,857524.0,8.1
2013,153,129,70.0,601149,61002302.0,8.1
2015,120,11,90.0,882316,154058340.0,8.1
2008,116,137,72.0,720450,148095302.0,8.1
2011,130,47,85.0,764493,381011219.0,8.1
2008,130,162,68.0,48582,1498210.0,8.1
2010,98,62,75.0,666773,217581231.0,8.1
2007,148,38,73.0,572921,18354356.0,8.1
2007,122,132,91.0,856916,74283625.0,8.1
2004,132,178,86.0,635975,100492203.0,8.1
2004,121,87,79.0,334320,23530892.0,8.1
2004,140,31,64.0,37820,1111061.0,8.1
2004,80,172,90.0,236311,5820649.0,8.1
2003,131,129,82.0,139558,14131.0,8.1
2003,111,22,69.0,1000639,70099045.0,8.1
2003,100,67,90.0,949565,380843261.0,8.1
2002,141,84,75.0,832846,164615351.0,8.1
2000,154,179,83.0,223741,5383834.0,8.1
2001,92,67,79.0,815505,289916256.0,8.1
2001,224,49,84.0,105036,70147.0,8.1
1999,107,170,64.0,911573,293506292.0,8.1
1998,169,165,58.0,59020,259127.0,8.1
1998,103,100,90.0,939631,125618201.0,8.1
1998,127,97,73.0,50862,348660.0,8.1
1998,117,98,71.0,732620,17498804.0,8.1
2000,98,172,85.0,124383,2734044.0,8.1
1996,93,137,83.0,634716,16501785.0,8.1
1996,98,132,85.0,617444,24611975.0,8.1
1995,101,172,77.0,272291,5535405.0,8.1
1994,99,168,100.0,90729,4043686.0,8.1
1994,102,95,77.0,63122,600200.0,8.1
1993,127,11,68.0,867615,402453882.0,8.1
1993,133,84,84.0,156842,25010410.0,8.1
1989,128,100,79.0,425457,95860116.0,8.1
1986,89,46,75.0,363401,52287414.0,8.1
1986,120,182,92.0,381222,138530565.0,8.1
1984,145,137,78.0,91188,2181987.0,8.1
1984,117,70,86.0,150924,495770.0,8.1
1982,109,193,57.0,371271,13782838.0,8.1
1982,95,145,47.0,76081,22244207.0,8.1
1982,188,137,100.0,57784,4971340.0,8.1
1982,117,35,84.0,693827,32868943.0,8.1
1979,94,93,77.0,367250,20045115.0,8.1
1978,183,182,86.0,311361,48979328.0,8.1
1976,120,178,70.0,518546,117235247.0,8.1
1974,130,170,92.0,294230,29000000.0,8.1
1973,102,95,77.0,42285,30933743.0,8.1
1967,127,122,92.0,161984,16217773.0,8.1
1966,121,182,96.0,53089,55908.0,8.1
1962,134,161,75.0,50058,4050000.0,8.1
1959,212,48,90.0,219466,74700000.0,8.1
1957,161,53,87.0,203463,44908000.0,8.1
1954,108,132,91.0,142107,9600000.0,8.1
1951,111,149,72.0,31568,3969893.0,8.1
1949,104,190,97.0,158731,449191.0,8.1
1940,99,105,96.0,28450,203300.0,8.1
1940,130,168,86.0,123942,4360000.0,8.1
1939,129,100,73.0,107017,9600000.0,8.1
1939,238,155,97.0,290074,198676459.0,8.1
1934,105,119,87.0,94016,4360000.0,8.1
2016,128,103,94.0,505918,151101803.0,8.0
2016,118,85,69.0,213970,51739495.0,8.0
2015,144,51,80.0,760094,228433663.0,8.0
2016,108,67,78.0,434143,341268248.0,8.0
2013,137,68,89.0,38746,1506975.0,8.0
2017,113,138,66.0,141923,132422809.0,8.0
2019,154,165,65.0,31886,5566534.0,8.0
2013,96,137,82.0,81770,1010414.0,8.0
2014,150,24,71.0,114316,2625803.0,8.0
2014,114,91,73.0,685201,91125683.0,8.0
2014,121,2,76.0,1043455,333176600.0,8.0
2017,164,27,81.0,461823,92054159.0,8.0
2013,126,173,90.0,540772,25568251.0,8.0
2018,134,88,49.0,450349,216428042.0,8.0
2015,156,4,76.0,705589,183637894.0,8.0
2012,103,172,67.0,462252,17738570.0,8.0
2010,115,22,71.0,79200,100119.0,8.0
2010,118,87,88.0,639603,138797449.0,8.0
2011,146,137,62.0,428521,169708112.0,8.0
2016,108,2,65.0,902669,363070709.0,8.0
2009,119,167,87.0,45803,106662.0,8.0
2010,165,137,50.0,98575,4018695.0,8.0
2008,120,172,84.0,798882,141319928.0,8.0
2010,108,179,79.0,699673,106954678.0,8.0
2007,115,22,33.0,98097,8060.0,8.0
2012,143,11,69.0,1260806,623279547.0,8.0
2007,96,72,90.0,88656,4445756.0,8.0
2013,117,85,80.0,441614,27298285.0,8.0
2006,117,85,64.0,448930,163566459.0,8.0
2006,143,52,64.0,499439,57366262.0,8.0
2007,115,33,85.0,604694,227471070.0,8.0
2004,88,130,72.0,50610,238507.0,8.0
2005,124,136,74.0,738512,74103820.0,8.0
2007,112,85,92.0,103284,5990075.0,8.0
2007,111,67,96.0,641645,206445654.0,8.0
2006,144,12,80.0,582239,167445960.0,8.0
2004,137,24,83.0,683900,66208183.0,8.0
2003,110,137,82.0,42399,502028.0,8.0
2003,103,172,85.0,77520,2380788.0,8.0
2014,126,85,74.0,77554,2086345.0,8.0
2005,144,87,69.0,176151,61649911.0,8.0
2003,186,104,54.0,63460,1787378.0,8.0
2002,101,22,75.0,117857,169659.0,8.0
2003,143,6,63.0,1015122,305413918.0,8.0
2003,125,47,58.0,415218,66257002.0,8.0
2004,115,62,90.0,657047,261441092.0,8.0
2003,178,122,60.0,137963,1530386.0,8.0
2001,113,169,88.0,740086,1480006.0,8.0
1999,188,137,77.0,289742,22455976.0,8.0
2000,140,128,61.0,102285,4184036.0,8.0
1999,112,85,86.0,82002,6203044.0,8.0
1998,105,137,82.0,78341,1647780.0,8.0
1998,110,137,80.0,36419,5595428.0,8.0
1999,86,62,85.0,172083,23159305.0,8.0
1996,135,137,84.0,86838,24475416.0,8.0
1996,136,100,91.0,37564,13417292.0,8.0
1995,129,198,74.0,578443,57141459.0,8.0
1995,83,63,76.0,129231,515905.0,8.0
1993,76,81,82.0,300208,75082668.0,8.0
1993,101,111,72.0,577991,70906973.0,8.0
1993,180,122,47.0,28825,4496583.0,8.0
1992,156,137,59.0,263918,63895607.0,8.0
1992,90,67,86.0,373845,217350219.0,8.0
1991,189,156,72.0,142110,70405498.0,8.0
1991,84,81,95.0,417178,218967620.0,8.0
1990,181,54,72.0,240266,184208848.0,8.0
1989,120,100,93.0,89429,27545445.0,8.0
1988,133,137,65.0,473064,178800000.0,8.0
1987,98,55,77.0,393899,30857814.0,8.0
1987,128,147,79.0,64722,3333969.0,8.0
1987,104,182,88.0,31163,4542825.0,8.0
1984,107,34,84.0,799795,38400000.0,8.0
1982,191,87,79.0,217664,52767889.0,8.0
1979,130,100,83.0,65625,30177511.0,8.0
1977,93,119,92.0,251823,39200000.0,8.0
1975,124,61,87.0,543388,260000000.0,8.0
1975,125,84,86.0,235652,50000000.0,8.0
1974,106,93,80.0,143359,86300000.0,8.0
1973,151,84,58.0,121627,53267000.0,8.0
1973,122,192,81.0,362393,232906145.0,8.0
1971,118,172,93.0,42456,29133000.0,8.0
1971,181,140,67.0,39491,80500000.0,8.0
1970,113,137,100.0,27067,541940.0,8.0
1969,110,84,66.0,201888,102308889.0,8.0
1968,112,60,79.0,165167,33395426.0,8.0
1967,106,105,83.0,253676,104945305.0,8.0
1965,172,86,63.0,205425,163214286.0,8.0
1965,197,175,69.0,69903,111722000.0,8.0
1964,99,32,65.0,198219,14500000.0,8.0
1963,138,137,91.0,108844,50690.0,8.0
1961,134,178,90.0,75067,8284000.0,8.0
1960,174,100,95.0,66621,19516000.0,8.0
1959,141,32,93.0,56305,12535000.0,8.0
1959,161,129,95.0,59847,11900000.0,8.0
1958,95,124,99.0,98431,2237659.0,8.0
1958,108,137,84.0,45062,17570324.0,8.0
1955,92,124,99.0,81980,654000.0,8.0
1951,122,137,97.0,99182,8000000.0,8.0
1946,170,175,93.0,57259,23650000.0,8.0
1941,100,189,96.0,148928,2108060.0,8.0
1940,129,152,96.0,85559,55000.0,8.0
